1 | Texas Best Smokehouse | 33.453109251443216 | -94.13241491816567
2 | Brisket Love Barbeque & Icehouse | 32.48931401794158 | -95.43180120471945
3 | Black's Barbeque Austin | 30.2986299886543 | -97.7413542066704
4 | Stub's Bar-B-Q | 30.268697031103674 | -97.73625650482043
5 | El Chile cafe y Cantina | 30.284258792984076 | -97.72179834899923
6 | La Hacienda de Los Barrios | 29.61465230357526 | -98.44786398950521
7 | On The Border Mexican Grill & Cantina-Arlington | 32.759060021598714 | -97.07647474216363
8 | Matt's El Rancho - Austin | 30.24531261124568 | -97.77929173365732
9 | Cielito Lindo Mexican Cuisine - Cedar Park | 30.479109933306088 | -97.83270546097116
10 | Mi Tierra Cafe y Panaderia - San Antonio | 29.425173460948983 | -98.49972676252874
11 | Gringo's Mexican Kitchen - La Porte |  29.66558710460444 | -95.08657576622103
12 | Ramos Tex-Mex Restaurant - Austin | 30.450262807879014 | -97.69475953549963
13 | Strawn: Mary's Cafe | 32.54990467887768 | -98.49857580656787
14 | Spring Branch: Richter's Antler Cafe | 29.80404326021017 | -98.38509876251246
15 | San Angilo: Zentner's Daughter Steak House | 31.4277127175576 | -100.45914057593272
16 | Fort Worth: Horseshoe Hill Cafe | 32.78907110234416 | -97.35080992007266
17 | Houston: Pappy's Cafe | 29.784024742079854 | -95.60472361833378
18 | Whiskey Cake Kitchen & Bar | 30.24926666854969 | -95.45066952636621
19 | That's The Cake Bakery | 32.78558894026176 | -97.06564046602941
20 | Chrissy Homestyle Bakery | 30.756074451865924 | -98.67588484712705
21 | Sinsational Cakes Bakery | 32.855126276093856 | -97.21215740997411
22 | KBayBros Fish & Ice | 21.41926505194945 | -157.8039757204938
23 | Poke by the Pound | 21.324752077518138 | -157.88192950515304
24 | Tamashiro Market | 21.322096597365675 | -157.8669788916608
25 | Kyung's Seafood | 21.29939757276349 | -157.84261176282558
26 | Helena's Hawaiian Food | 21.331080782038658 | -157.8651317204966
27 | Ai Love Nalo | 21.340409351532166 | -157.70387886282435
28 | Poi by the Pound | 20.886700838031317 | -156.453690862838
29 | Waiahole Poi Factory | 21.48214512177626 | -157.8452078152886
30 | Oahu Grill | 21.282751831834332 | -157.8001364051543
31 | Helena's Hawaiian Food | 21.331120757419836 | -157.86506734748122
32 | Komoda's Bakery | 20.854284496480723 | -156.31059886283893
33 | Home Maid Bakery | 20.89975739380401 | -156.48871746283766
34 | Mapolean Bakery (Zippys) | 21.484971583304414 | -158.00647556490162
35 | Maikai Lani Malasadas | 21.283837364100528 | -157.82927801504704
36 | Cafe 100. Hilo | 19.71454958125257 | -155.0771805763641
37 | Rainbow Drive-In | 21.285875508028166 | -157.81316115152617
38 | Koko Head Cafe O'ahu | 21.28176024413033 | -157.79961337631855
39 | Kountry Style Kitchen | 21.319373478770423 | -158.01500353398907
40 | Da Kitchen | 20.81785142600397 | -156.45395364526905
41 | Sqirl | 34.08478071683009 | -118.28682395067334
42 | Avotoasty | 37.80039439539981 | -122.42880060370811
43 | Avocado Cafe | 37.788650115422755 | -122.41524161676683
44 | Salata | 34.14562381208065 | -118.24238259822826
45 | California Grill and Bar | 33.9915467990073 | -118.03427305005118
46 | The Toss - San Carlos | 37.49469279474427 | -122.24664166213438
47 | California Grill | 37.55980518561376 | -122.28418847975355
48 | Best Fish Tacos in Ensenada | 34.10124863719102 | -118.28722884696991
49 | Baja Fish Tacos | 34.07358175753739 | -118.29234838593459
50 | Tadich Grill | 37.793536910279535 | -122.39942764677828
51 | California Fish Market Restaurant | 37.79987338891217 | -122.40827144677782
52 | Junior's Restaurant and Bakery | 40.763169928678124 | -73.98415446389426
53 | The Cheesecake Factory | 40.73586585679959 | -74.03910240995383
54 | Eileen's Special Cheesecake | 40.72181190889133 | -73.9972152889414
55 | La Cheesecake Bake Shop | 40.7854993927358 | -73.84184990428125
56 | Joe's Pizza | 40.84324576611676 | -73.86644840453894
57 | Bleecker Street Pizza | 40.73237985980367 | -74.00338118894082
58 | Price Street Pizza | 40.72327098596332 | -73.99452800428487
59 | Russ & Daughters | 40.72325423761942 | -73.98839117413361
60 | Brooklyn Bagel & Coffee Co. | 40.732872935961645 | -73.9933274612068
61 | Sadelle's | 40.726416423661014 | -74.00018023312059
62 | Tompkins Square Bagels | 40.729983834028324 | -73.982316989206
63 | Pastrami Queen | 40.75622446178236 | -73.99468069424209
64 | David's Brisket House | 40.67922058160148 | -73.94951316195925
65 | Eisenberg's Sandwich Shop | 40.741278377597716 | -73.99016234661207
66 | Capital One Cafe | 40.7506416747691 | -73.98730854023955
67 | Lavain Bakery - New York | 40.77917229493779 | -73.95512305478061
68 | Russ & Daughtes | 40.75692605643642 | -73.99958341708965
69 | William Greenberg Desserts | 40.77982317718216 | -73.98069564309601
70 | Red Lobster | 40.76215502705065 | -73.98856641133567
71 | Florida's Seafood Bar and Grill | 28.357713758657642 | -80.61428464722981
72 | The Lobster Shack Key West | 24.547973564675655 | -81.79575677621122
73 | Crab & Fin Restaurant | 27.318297218533253 | -82.57652519145117
74 | Seafood Atlantic | 28.4088759490869 | -80.61512743373542
75 | The Cuban Sandwich Shop | 28.045494287100357 | -82.45975902025792
76 | La Teresita Restaurant | 27.97087726824546 | -82.49630582060935
77 | Hemingway's Cuban Kitchen | 27.96157487455257 | -82.46383526258953
78 | HAVANA 86 - Authentic Cuban Flavor | 27.966387363504044 | -82.50046382026113
79 | Key Lime Pie Bakery | 24.558806492984193 | -81.80585682039043
80 | Terry's Key Lime Pies & Grmt | 26.065298056273058 | -80.22172256266364
